game_day,club,step_number,total_steps,difficulty,nationality,pool_size,sample_players,valid_players
40,Fiorentina,2,4,Medium,Colombia,5,"[""Juan Cuadrado"", ""Luis Muriel"", ""Yerry Mina""]","[""Juan Cuadrado"", ""Luis Muriel"", ""Yerry Mina"", ""Carlos Sánchez"", ""Kevin Agudelo""]"
40,Fiorentina,3,4,Hard,Egypt,2,"[""Mohamed Salah"", ""Ahmed Hegazy""]","[""Mohamed Salah"", ""Ahmed Hegazy""]"
40,Fiorentina,4,4,The Unicorn,Bosnia and Herzegovina,1,"[""Edin Džeko""]","[""Edin Džeko""]"
41,Real Betis,1,4,Easy,Spain,154,"[""Isco"", ""Fabián Ruiz"", ""Robin Le Normand""]","[""Isco"", ""Fabián Ruiz"", ""Robin Le Normand"", ""Álex Martínez"", ""Dani Ceballos"", ""Héctor Bellerín"", ""Pablo Fornals"", ""Marc Roca"", ""Borja Iglesias"", ""Marc Bartra"", ""Sergio Canales"", ""Ayoze Pérez"", ""Diego Llorente"", ""Carles Aleñá"", ""Jesús Rodríguez"", ""Pablo García"", ""Joaquín"", ""Rodrigo Riquelme"", ""Rodri Sánchez"", ""Pau López"", ""Fernando"", ""Alfonso Pedraza"", ""Sergi Altimira"", ""Loren Morón"", ""Álex Moreno"", ""Javi García"", ""Juan Jesús"", ""Rubén Pardo"", ""Juan Miranda"", ""Juanmi"", ""Raúl García"", ""Jesé"", ""Álvaro Valles"", ""Martín Montoya"", ""Víctor Ruiz"", ""Cristian Tello"", ""Rubén Pérez"", ""Alejandro Pozuelo"", ""José Antonio Morante"", ""Beñat Etxebarria"", ""Edgar González"", ""Víctor Camarasa"", ""Sergio Arribas"", ""Adrián San Miguel"", ""Sergio García"", ""Joel Robles"", ""Antonio Adán"", ""Francis Guerrero"", ""Juankar"", ""Félix Garreta"", ""Cristo"", ""Joan Verdú"", ""Miguel de la Fuente"", ""Álex Collado"", ""Ángel Ortiz"", ""Matías Nahuel"", ""Ángel López"", ""Juan Cruz"", ""Mario Abrante"", ""Óscar López"", ""Sergio León"", ""Aitor Ruibal"", ""Dídac Vilà"", ""Dani Martín"", ""Fabri"", ""Antonio Barragán"", ""Álvaro Vadillo"", ""José Alberto Cañas"", ""Juanfran Moreno"", ""Rubén Castro"", ""Francisco Portillo"", ""Xavi Torres"", ""Jonathan Pereira"", ""Fernando Varela"", ""Carlos García"", ""Iker Losada"", ""Álvaro Cejudo"", ""Dani Pacheco"", ""Jorge Molina"", ""Damià Abella"", ""Chechu Dorado"", ""Momo"", ""Casto"", ""Toni Doblas"", ""Pedro López"", ""Bruno González"", ""Nacho"", ""Juanlu"", ""Dani Pérez"", ""Javier Matilla"", ""Rober González"", ""Jordi Figueras"", ""Ustaritz"", ""Javi Chica"", ""Salva Sevilla"", ""Antonio Amaya"", ""Manu Herrera"", ""José Manuel Pinto"", ""Álex Alegría"", ""Fran Varela"", ""José Antonio Caro"", ""Rafa Navarro"", ""Jorge Casado"", ""Chuli"", ""Francisco Molinero"", ""Héctor Rodas"", ""Mateo Flores"", ""Nono"", ""Ismael Gutiérrez"", ""Iván Corralejo"", ""Dani Giménez"", ""Ricardo Visus"", ""José Carlos Ramírez"", ""José Mari"", ""Juanma García"", ""Luis Fernández"", ""Ismael López"", ""Fausto Tienza"", ""Fran Delgado"", ""Pablo Busto"", ""Fran Vieites"", ""Julio Gracia"", ""Carlos Redruello"", ""Carlos Guirao"", ""Alejandro Meléndez"", ""Ignacio Abeledo"", ""Eder Vilarchao"", ""Quique Fernández"", ""Sergio Rodríguez"", ""Diego Torres"", ""Pepelu Vidal"", ""Israel Bascón"", ""Juanma"", ""Isidoro"", ""Joaquín Bornes"", ""Juanlu Bernal"", ""Juande Prados"", ""Óscar Arpón"", ""Francisco Maldonado"", ""Mingo"", ""Iñaki Goitia"", ""Pepe Gálvez"", ""Fran Díaz"", ""Liberto Beltrán"", ""Miguel Ángel"", ""Capi"", ""Álex Altube"", ""David Rivas"", ""Adrián"", ""Pablo Niño"", ""Juan Sabas"", ""Tomás Olías"", ""Ito"", ""Fernando Vega""]"
41,Real Betis,2,4,Medium,Argentina,9,"[""Giovani Lo Celso"", ""Germán Pezzella"", ""Guido Rodríguez""]","[""Giovani Lo Celso"", ""Germán Pezzella"", ""Guido Rodríguez"", ""Valentín Gómez"", ""Chimy Ávila"", ""Fabián Monzón"", ""Juan Pablo Caffa"", ""Guillermo Sara"", ""Pibe""]"
41,Real Betis,3,4,Hard,Mexico,3,"[""Andrés Guardado"", ""Diego Lainez"", ""Álvaro Fidalgo""]","[""Andrés Guardado"", ""Diego Lainez"", ""Álvaro Fidalgo""]"
41,Real Betis,4,4,The Unicorn,Costa Rica,1,"[""Joel Campbell""]","[""Joel Campbell""]"
42,Aston Villa,1,4,Easy,England,124,"[""Marcus Rashford"", ""Jadon Sancho"", ""Kyle Walker""]","[""Marcus Rashford"", ""Jadon Sancho"", ""Kyle Walker"", ""Jack Grealish"", ""Morgan Rogers"", ""John Terry"", ""Martin Keown"", ""Ollie Watkins"", ""James Milner"", ""Ashley Young"", ""Ezri Konsa"", ""Harvey Elliott"", ""Ross Barkley"", ""Tammy Abraham"", ""Jacob Ramsey"", ""Tyrone Mings"", ""Matt Targett"", ""Cameron Archer"", ""Samuel Iling-Junior"", ""Jaden Philogene"", ""Tim Iroegbunam"", ""Danny Ings"", ""Darren Bent"", ""Joe Cole"", ""Ryan Bertrand"", ""Danny Drinkwater"", ""Gary Cahill"", ""Gareth Barry"", ""Micah Richards"", ""Kortney Hause"", ""Calum Chambers"", ""Joleon Lescott"", ""Gabriel Agbonlahor"", ""Stewart Downing"", ""Sam Johnstone"", ""Jermaine Jenas"", ""Fabian Delph"", ""Tom Cleverley"", ""Keinan Davis"", ""Scott Carson"", ""Scott Sinclair"", ""Marc Albrighton"", ""Lewis Dobbin"", ""Tom Heaton"", ""Kieran Richardson"", ""Kevin Phillips"", ""Craig Gardner"", ""Ashley Westwood"", ""Tom Carroll"", ""Nicky Shorey"", ""Josh Onomah"", ""Steve Sidwell"", ""Matthew Lowton"", ""Liam Ridgewell"", ""Bradley Burrowes"", ""Grant Holt"", ""Nathan Baker"", ""Andre Green"", ""Nathan Delfouneso"", ""Jonathan Hogg"", ""Jamaldeen Jimoh-Aloba"", ""Henri Lansbury"", ""Joe Bennett"", ""Tommy Elphick"", ""James Bree"", ""Peter Whittingham"", ""Kaine Kesler-Hayden"", ""George Hemmings"", ""Mark Bunn"", ""Lino Sousa"", ""Gary Gardner"", ""Jed Steer"", ""Omari Kellyman"", ""Stuart Taylor"", ""Kadan Young"", ""Louie Barry"", ""Jordan Bowery"", ""Andy Marshall"", ""Harry Forrester"", ""Sebastian Revan"", ""Ben Chrisene"", ""Brad Young"", ""Arjan Raikhy"", ""Mungo Bridge"", ""Jake Walker"", ""Hayden Lindley"", ""Dominic Revan"", ""Callum Rowe"", ""Teddy Rowe"", ""Harrison Sohna"", ""Finley Munroe"", ""Jonathan Bewers"", ""Daryl Taylor"", ""Michael Standing"", ""Les Sealey"", ""Gareth Southgate"", ""Courtney Cameron"", ""David Unsworth"", ""Stefan Moore"", ""Gavin McCann"", ""Alan Wright"", ""Stephen Cooke"", ""Michael Boulding"", ""Lee Hendrie"", ""Connor Taylor"", ""Chris Sutton"", ""Ellis Deeney"", ""Jason Lampkin"", ""Tommy Johnson"", ""Alan Thompson"", ""Ebby Nelson-Addy"", ""Gavin Ward"", ""Durrell Berry"", ""Stephen Warnock"", ""Dion Dublin"", ""Paul Merson"", ""Matthew Roome"", ""Simon Grayson"", ""Michael Husbands"", ""Riccardo Scimeca"", ""Gary Charles"", ""Steve Stone"", ""Sam Williams"", ""Ian Taylor""]"
42,Aston Villa,2,4,Medium,Belgium,6,"[""Youri Tielemans"", ""Amadou Onana"", ""Christian Benteke""]","[""Youri Tielemans"", ""Amadou Onana"", ""Christian Benteke"", ""Leander Dendoncker"", ""Björn Engels"", ""Ritchie De Laet""]"
42,Aston Villa,3,4,Hard,Brazil,5,"[""Philippe Coutinho"", ""Douglas Luiz"", ""Diego Carlos""]","[""Philippe Coutinho"", ""Douglas Luiz"", ""Diego Carlos"", ""Wesley Moraes"", ""Alysson""]"
42,Aston Villa,4,4,The Unicorn,Burkina Faso,1,"[""Bertrand Traoré""]","[""Bertrand Traoré""]"
43,Atalanta,1,4,Easy,Italy,278,"[""Alessandro Bastoni"", ""Christian Vieri"", ""Antonio Cabrini""]","[""Alessandro Bastoni"", ""Christian Vieri"", ""Antonio Cabrini"", ""Filippo Inzaghi"", ""Gaetano Scirea"", ""Giacomo Raspadori"", ""Nicolò Zaniolo"", ""Mateo Retegui"", ""Bryan Cristante"", ""Gianluca Scamacca"", ""Leonardo Spinazzola"", ""Giorgio Scalvini"", ""Gianluca Mancini"", ""Giacomo Bonaventura"", ""Riccardo Orsolini"", ""Marco Palestra"", ""Matteo Pessina"", ""Davide Zappacosta"", ""Honest Ahanor"", ""Marco Carnesecchi"", ""Rafael Tolói"", ""Raoul Bellanova"", ""Matteo Ruggeri"", ""Roberto Gagliardini"", ""Mattia Caldara"", ""Andrea Petagna"", ""Roberto Piccoli"", ""Giampaolo Pazzini"", ""Lorenzo Bernasconi"", ""Giuseppe Pezzella"", ""Alberto Grassi"", ""Nicolò Cambiaghi"", ""Enrico Delprato"", ""Marco Borriello"", ""Manolo Gabbiadini"", ""Pierluigi Gollini"", ""Alessio Cerci"", ""Andrea Colpani"", ""Andrea Conti"", ""Daniel Maldini"", ""Rolando Bianchi"", ""Matteo Brighi"", ""Cristiano Piccini"", ""Marco D'Alessandro"", ""Daniele Baselli"", ""Marco Brescianini"", ""Sergio Floccari"", ""Marco Sportiello"", ""Caleb Okoli"", ""Gabriel Paletta"", ""Alessandro Diamanti"", ""Luca Cigarini"", ""Alberto Dossena"", ""Ivan Pelizzoli"", ""Andrea Consigli"", ""Nadir Zortea"", ""Franco Brienza"", ""Matteo Lovato"", ""Davide Bettella"", ""Luciano Zauri"", ""Marco Motta"", ""Ezequiel Schelotto"", ""Alberto Paloschi"", ""Cesare Natali"", ""Massimo Donati"", ""Andrea Lazzari"", ""Giulio Migliaccio"", ""Tiberio Guarente"", ""Alberto Manzoni"", ""Federico Peluso"", ""Fabio Depaoli"", ""Giovanni Bonfanti"", ""Thomas Manfredini"", ""Andrea Masiello"", ""Davide Biondini"", ""Michele Canini"", ""Simone Padoin"", ""Guido Marilungo"", ""Stefano Lucchini"", ""Giuseppe De Luca"", ""Ferdinando Coppola"", ""Matteo Contini"", ""Cristian Raimondi"", ""Filippo Melegoni"", ""Simone Tiribocchi"", ""Guglielmo Stendardo"", ""Michele Paolucci"", ""Luca Rizzo"", ""Matteo Ardemagni"", ""Dominic Vavassori"", ""Federico Mattiello"", ""Giorgio Cittadini"", ""Ciro Polito"", ""Daniele Capelli"", ""Luca Vido"", ""Giuseppe Biava"", ""Marco Tumminello"", ""Marco Varnier"", ""Gianpaolo Bellini"", ""Fabio Ceravolo"", ""Francesco Parravicini"", ""Davide Brivio"", ""Paolo Bianco"", ""Federico Cassa"", ""Luca Valzania"", ""Marco Carraro"", ""Davide Bassi"", ""Simone Colombi"", ""Christian Capone"", ""Salvatore Molina"", ""Michele Ferri"", ""Giuseppe Di Serio"", ""Nicolò Cherubin"", ""Leonardo Pettinari"", ""Jacopo Da Riva"", ""Cristiano Del Grosso"", ""Lorenzo Rosseti"", ""Leonardo Gatto"", ""Gaetano Monachello"", ""Riccardo Cazzola"", ""Alessandro Cortinovis"", ""Luigi Giorgi"", ""Matteo Scozzarella"", ""Nadir Minotti"", ""Emanuele Suagher"", ""Leonardo Mendicino"", ""Davide Agazzi"", ""Fabio Eguelfi"", ""Salvatore Elia"", ""Simone Emmanuello"", ""Alberto Almici"", ""Emmanuel Gyabuaa"", ""Simone Mazzocchi"", ""Andrea Ceresoli"", ""Davide Ghislandi"", ""Simone Magnaghi"", ""Giorgio Frezzolini"", ""Daniele Gasparetto"", ""Andrea Oliveri"", ""Nicolò Fazzi"", ""Antonio Palma"", ""Simone Panada"", ""Alessandro Mallamo"", ""Alex Redolfi"", ""Federico Zuccon"", ""Andrea Boffelli"", ""Tommaso Del Lungo"", ""Roberto Ranieri"", ""Gianluca Barba"", ""Mario Pugliese"", ""Alessandro Eleuteri"", ""Luca Milesi"", ""Christian Mora"", ""Federico Varano"", ""Giacomo Parigi"", ""Luca Zanotti"", ""Riccardo Gatti"", ""Valerio Nava"", ""Lorenzo Peli"", ""Thomas Bolis"", ""Stefano Marchetti"", ""Tommaso Tentoni"", ""Tommaso De Nipoti"", ""Ludovico Gelmi"", ""Davide Merelli"", ""Francesco Rossi"", ""Stefano Mazzini"", ""Lorenzo Migliorelli"", ""Nicolas La Vigna"", ""Roberto Taliento"", ""Matteo Salvi"", ""Enrico Zanoni"", ""Alberto Alari"", ""Alberto Carminati"", ""Nicolò Tonon"", ""Carlo Cremaschi"", ""Luca Tomasig"", ""Mario Morfeo"", ""Gianvito Plasmati"", ""Antonino Bernardini"", ""Stefano Rossini"", ""Andrea Arrigoni"", ""Aimone Calì"", ""Michele Rinaldi"", ""Michele Marconi"", ""Nicola Madonna"", ""Alessandro Wilson"", ""Damiano Zenoni"", ""Fabio Gallo"", ""Federico Pettinà"", ""Duccio Innocenti"", ""Filippo Carobbio"", ""Vincenzo Chianese"", ""Davide Ghidini"", ""Diego Bortoluzzi"", ""Emanuele Tresoldi"", ""Alberto Fontana"", ""Paolo Foglio"", ""Ernesto Terra"", ""Matteo Gritti"", ""Nicholas Caglioni"", ""Davide Sinigaglia"", ""Fabio Caserta"", ""Marino Defendi"", ""Fausto Rossini"", ""Matteo Pedrini"", ""Marcello Possenti"", ""Manuel Belleri"", ""Sebastiano Siviglia"", ""Riccardo Burgio"", ""Alessio Manzoni"", ""Alessio Tacchinardi"", ""Gianni Comandini"", ""Cristiano Pavone"", ""Vincenzo Mirabile"", ""Nicolò Milani"", ""Biagio Pagano"", ""Alessandro Pontarollo"", ""Paolo Tramezzani"", ""Alberto Filippini"", ""Alex Calderoni"", ""Denis Di Rocco"", ""Francesco Ruopolo"", ""Niccolò Ghisleni"", ""Christian Monacizzo"", ""Andrea Viviani"", ""Gianluca Luppi"", ""Maurizio Ganz"", ""Samuele Dalla Bona"", ""Lorenzo Babbi"", ""Michele Messina"", ""Michele Magrin"", ""Moris Carrozzieri"", ""Fabio Castellano"", ""Cristian Zenoni"", ""Daniele Solcia"", ""Cristiano Doni"", ""Gabriele Fornoni"", ""Fabio Adobati"", ""Gennaro Delvecchio"", ""Filippo Maniero"", ""Michael Cia"", ""Cristiano Lucarelli"", ""Davide Micillo"", ""Nicola Ventola"", ""Corrado Colombo"", ""Simone Inzaghi"", ""Matteo Gentili"", ""Gianluca Falsini"", ""Sergio Porrini"", ""Mariano Stendardo"", ""Simone Pavan"", ""Pierluigi Brivio"", ""Pietro Assennato"", ""Giorgio Brogni"", ""Matteo Andreoletti"", ""Simone Sales"", ""Michele Marcolini"", ""Andrea Soncin"", ""Simone Loria"", ""Marco Nappi"", ""Massimo Mutarelli"", ""Liam Ardigò"", ""Nicola Amoruso"", ""Massimo Gotti"", ""Gianluigi Lentini"", ""Marco Ambrosio"", ""Edoardo Scanagatta"", ""Alessio Girgi"", ""Nicola Mingazzini"", ""Jurgen Pandiani"", ""Danilo Zini"", ""Marco Zanchi"", ""Angelo Carbone"", ""Nicholas Siega"", ""Giacomo Banchelli"", ""Tiziano Ramon"", ""Marco Sgrò""]"
43,Atalanta,2,4,Medium,Ivory Coast,7,"[""Franck Kessié"", ""Odilon Kossounou"", ""Amad Diallo""]","[""Franck Kessié"", ""Odilon Kossounou"", ""Amad Diallo"", ""Jérémie Boga"", ""Emmanuel Latte Lath"", ""Moussa Koné"", ""Alassane Sidibe""]"
43,Atalanta,3,4,Hard,Colombia,5,"[""Juan Cuadrado"", ""Luis Muriel"", ""Duván Zapata""]","[""Juan Cuadrado"", ""Luis Muriel"", ""Duván Zapata"", ""Johan Mojica"", ""Mario Yepes""]"
43,Atalanta,4,4,The Unicorn,Nigeria,1,"[""Ademola Lookman""]","[""Ademola Lookman""]"
44,Everton,1,4,Easy,England,103,"[""John Stones"", ""Jack Grealish"", ""Dele Alli""]","[""John Stones"", ""Jack Grealish"", ""Dele Alli"", ""Jordan Pickford"", ""Wayne Rooney"", ""Paul Gascoigne"", ""Martin Keown"", ""Gary Lineker"", ""Anthony Gordon"", ""Ashley Young"", ""Ross Barkley"", ""Dominic Calvert-Lewin"", ""Jarrad Branthwaite"", ""James Garner"", ""Tyler Dibling"", ""Michael Keane"", ""Dwight McNeil"", ""Conor Coady"", ""Kiernan Dewsbury-Hall"", ""James Tarkowski"", ""Jack Harrison"", ""Andros Townsend"", ""Theo Walcott"", ""Tyrique George"", ""Jonjoe Kenny"", ""Ben Godfrey"", ""Tim Iroegbunam"", ""Leighton Baines"", ""Aaron Lennon"", ""Harrison Armstrong"", ""Kieran Dowell"", ""Gareth Barry"", ""Tom Davies"", ""Joleon Lescott"", ""Jack Rodwell"", ""Fabian Delph"", ""Tom Cleverley"", ""Andy Johnson"", ""Phil Jagielka"", ""John Lundstram"", ""Lewis Dobbin"", ""Leon Osman"", ""John Ruddy"", ""Ellis Simms"", ""Phil Neville"", ""Adam Forshaw"", ""Reece Welch"", ""Tony Hibbert"", ""Elijah Campbell"", ""Chris Long"", ""Dan Gosling"", ""Lukas Jutkiewicz"", ""Roman Dixon"", ""Callum Connolly"", ""Luke Garbutt"", ""Ryan Ledson"", ""Thierry Small"", ""Matthew Pennington"", ""Carlo Nash"", ""Andy Lonergan"", ""Tyler Onyango"", ""Lewis Warrington"", ""Conor McAleny"", ""Sean O'Hanlon"", ""Morgan Feeney"", ""Alex Smith"", ""Alex Denny"", ""Jake Bidwell"", ""Laurence Wilson"", ""Alec Chamberlain"", ""Jon Nolan"", ""John Doolan"", ""Lee Molyneux"", ""Peter Beagrie"", ""Isaac Heath"", ""John Hills"", ""Harry Tyrer"", ""Carl Regan"", ""Paul Gerrard"", ""Brett Angell"", ""Peter Clarke"", ""Mitch Ward"", ""David Unsworth"", ""Gavin McCann"", ""James Beattie"", ""Vinny Samways"", ""John Irving"", ""Keith Southern"", ""Alan Stubbs"", ""Tony Grant"", ""Steven Schumacher"", ""Tommy Johnson"", ""Craig Short"", ""John Paul Kissock"", ""Scott Spencer"", ""Graham Allen"", ""Michael Symes"", ""David Burrows"", ""George Pilkington"", ""Jamie Milligan"", ""Jose Baxter"", ""Phil Jevons"", ""Billy Crellin""]"
44,Everton,2,4,Medium,Republic of Ireland,11,"[""Séamus Coleman"", ""Jake O'Brien"", ""James McCarthy""]","[""Séamus Coleman"", ""Jake O'Brien"", ""James McCarthy"", ""Tom Cannon"", ""Richard Dunne"", ""Shane Duffy"", ""Mark Travers"", ""Aiden McGeady"", ""Darron Gibson"", ""Harry Charsley"", ""Dean Delany""]"
44,Everton,3,4,Hard,Belgium,5,"[""Romelu Lukaku"", ""Amadou Onana"", ""Orel Mangala""]","[""Romelu Lukaku"", ""Amadou Onana"", ""Orel Mangala"", ""Marouane Fellaini"", ""Kevin Mirallas""]"
44,Everton,4,4,The Unicorn,Venezuela,1,"[""Salomón Rondón""]","[""Salomón Rondón""]"
45,West Ham United,1,4,Easy,England,122,"[""Declan Rice"", ""Frank Lampard"", ""Rio Ferdinand""]","[""Declan Rice"", ""Frank Lampard"", ""Rio Ferdinand"", ""Joe Hart"", ""Teddy Sheringham"", ""Michael Carrick"", ""Jermain Defoe"", ""Kalvin Phillips"", ""Jesse Lingard"", ""Jarrod Bowen"", ""James Ward-Prowse"", ""Callum Wilson"", ""Maximilian Kilman"", ""Jack Wilshere"", ""Kyle Walker-Peters"", ""Danny Ings"", ""Craig Dawson"", ""Ben Johnson"", ""Flynn Downes"", ""Joe Cole"", ""Andy Carroll"", ""Reece Oxford"", ""Scott Parker"", ""David Bentley"", ""Glen Johnson"", ""Stewart Downing"", ""Aaron Cresswell"", ""Oliver Scarles"", ""Divin Mubama"", ""Matt Jarvis"", ""Freddie Potts"", ""Paul Konchesky"", ""Wayne Bridge"", ""Carl Jenkinson"", ""Carlton Cole"", ""Kaelan Casey"", ""Matthew Upson"", ""Mark Noble"", ""Kevin Nolan"", ""Jordan Hugill"", ""James Tomkins"", ""Rob Green"", ""Gary O'Neil"", ""Matthew Etherington"", ""Ryan Fredericks"", ""Roger Johnson"", ""Nathan Trott"", ""Matthew Taylor"", ""Ezra Mayers"", ""Ashley Fletcher"", ""Leon Britton"", ""Sam Byram"", ""Nicky Maynard"", ""Wes Foderingham"", ""Lewis Orford"", ""Henri Lansbury"", ""George Earthy"", ""Reece Burke"", ""Elliott Ward"", ""Finlay Herrick"", ""Matthew Kilgallon"", ""Hogan Ephraim"", ""Aji Alese"", ""Dan Potts"", ""Rob Hall"", ""Oladapo Afolayan"", ""Marcus Browne"", ""Elliot Lee"", ""George Moncur"", ""Matthias Fanimo"", ""Nathan Holland"", ""Jordan Spence"", ""Olly Lee"", ""Steve Banks"", ""Kyle Knoyle"", ""David Martin"", ""Jamal Baptiste"", ""Moses Makasi"", ""Jordan Brown"", ""Paul McCallum"", ""Lewis Page"", ""Danny Whitehead"", ""Sam Westley"", ""Paul Kitson"", ""Amos Nasha"", ""Greg Pearson"", ""Joe Widdowson"", ""Les Sealey"", ""Hayden Mullins"", ""Junior Robinson"", ""Mitchell Thomas"", ""Rob Burch"", ""Matthew Reed"", ""Alex Pike"", ""David Unsworth"", ""Jon Harley"", ""Shaun Newton"", ""Terrell Forbes"", ""Scott Minto"", ""Trevor Sinclair"", ""Tony Stokes"", ""Stephen Bywater"", ""Freddie Sears"", ""Callum Driver"", ""Calum Davenport"", ""Nigel Winterburn"", ""Andy Impey"", ""Stuart Pearce"", ""Gary Alexander"", ""Luke Chadwick"", ""Kevin Hitchcock"", ""John Moncur"", ""Jimmy Walker"", ""Ian Thomas-Moore"", ""Gary Strodder"", ""David Burrows"", ""Neil Mellor"", ""Stephen Purches"", ""Gary Charles"", ""Dean Ashton"", ""Adam Nowland"", ""Ian Pearce""]"
45,West Ham United,2,4,Medium,Mexico,4,"[""Edson Álvarez"", ""Chicharito"", ""Javier Hernández""]","[""Edson Álvarez"", ""Chicharito"", ""Javier Hernández"", ""Pablo Barrera""]"
45,West Ham United,3,4,Hard,Austria,2,"[""Marko Arnautovic"", ""Emanuel Pogatetz""]","[""Marko Arnautovic"", ""Emanuel Pogatetz""]"
45,West Ham United,4,4,The Unicorn,Ukraine,1,"[""Andriy Yarmolenko""]","[""Andriy Yarmolenko""]"
46,AC Milan,1,4,Easy,Brazil,23,"[""Ronaldo"", ""Ronaldinho"", ""Thiago Silva""]","[""Ronaldo"", ""Ronaldinho"", ""Thiago Silva"", ""Kaká"", ""Lucas Paquetá"", ""Rivaldo"", ""Alexandre Pato"", ""Giovane Élber"", ""Serginho"", ""Emerson"", ""Cafu"", ""Robinho"", ""Dida"", ""Márcio Amoroso"", ""Gabriel"", ""Emerson Royal"", ""Alex"", ""Luiz Adriano"", ""Rodrigo Ely"", ""Léo Duarte"", ""Junior Messias"", ""Ricardo Oliveira"", ""Roque Júnior""]"
46,AC Milan,2,4,Medium,Portugal,6,"[""João Félix"", ""Rafael Leão"", ""Rui Costa""]","[""João Félix"", ""Rafael Leão"", ""Rui Costa"", ""André Silva"", ""Diogo Dalot"", ""Tiago Dias""]"
46,AC Milan,3,4,Hard,United States,3,"[""Christian Pulisic"", ""Sergiño Dest"", ""Yunus Musah""]","[""Christian Pulisic"", ""Sergiño Dest"", ""Yunus Musah""]"
46,AC Milan,4,4,The Unicorn,Turkey,1,"[""Hakan Çalhanoğlu""]","[""Hakan Çalhanoğlu""]"
47,Borussia Dortmund,1,4,Easy,Germany,95,"[""Mats Hummels"", ""İlkay Gündoğan"", ""Mario Götze""]","[""Mats Hummels"", ""İlkay Gündoğan"", ""Mario Götze"", ""Niklas Süle"", ""Jens Lehmann"", ""Marcel Schmelzer"", ""Marco Reus"", ""Sven Bender"", ""Sebastian Kehl"", ""Andreas Möller"", ""Neven Subotic"", ""Stefan Reuter"", ""Roman Weidenfeller"", ""Jürgen Kohler"", ""Lars Ricken"", ""Karl-Heinz Riedle"", ""Matthias Sammer"", ""Julian Brandt"", ""Emre Can"", ""Matthias Ginter"", ""Nico Schlotterbeck"", ""Karim Adeyemi"", ""Felix Nmecha"", ""Maximilian Beier"", ""Ansgar Knauff"", ""Jonas Hofmann"", ""Niclas Füllkrug"", ""Waldemar Anton"", ""Julian Weigl"", ""Youssoufa Moukoko"", ""Pascal Groß"", ""André Schürrle"", ""Maximilian Philipp"", ""Leonardo Bittencourt"", ""Nico Schulz"", ""Jeremy Toljan"", ""Diant Ramaj"", ""Tom Rothe"", ""Niklas Beste"", ""Gonzalo Castro"", ""Marius Wolf"", ""Pascal Stenzel"", ""Daniel Ginczek"", ""Marvin Ducksch"", ""Sebastian Rode"", ""Kevin Großkreutz"", ""Justin Njinmah"", ""Hendry Blank"", ""Koray Günter"", ""Julian Schieber"", ""Felix Passlack"", ""Ole Pohlmann"", ""Kjell Wätjen"", ""Erik Durm"", ""Samuel Bamba"", ""Manuel Friedrich"", ""Moritz Leitner"", ""Almugera Kabar"", ""David Odonkor"", ""Marco Stiepermann"", ""Steffen Tigges"", ""Marcel Lotka"", ""Antonios Papadopoulos"", ""Markus Feulner"", ""Martin Amedick"", ""Yannik Lührs"", ""Marvin Bakalorz"", ""Jeremy Dudziak"", ""Uwe Hünemeier"", ""Chris Löwe"", ""Lasse Sobiech"", ""Oliver Kirch"", ""Julian Koch"", ""Tobias Raschl"", ""Luca Unbehaun"", ""Marc Ziegler"", ""Patrick Drewes"", ""Lukas Kruse"", ""Alexander Meyer"", ""Eric Oelschlägel"", ""Marc Hornschuh"", ""Lion Semic"", ""Hendrik Bonmann"", ""Tim Dierßen"", ""Christian Timm"", ""Thomas Hengen"", ""Malte Metzelder"", ""Marc-André Kruska"", ""René Schneider"", ""Torsten Frings"", ""Alexander Bade"", ""Carsten Wolters"", ""Martin Driller"", ""Stefan Klos"", ""Markus Brzenska""]"
47,Borussia Dortmund,2,4,Medium,England,4,"[""Jude Bellingham"", ""Jadon Sancho"", ""Jamie Gittens""]","[""Jude Bellingham"", ""Jadon Sancho"", ""Jamie Gittens"", ""Jobe Bellingham""]"
47,Borussia Dortmund,3,4,Hard,Norway,2,"[""Erling Haaland"", ""Julian Ryerson""]","[""Erling Haaland"", ""Julian Ryerson""]"
47,Borussia Dortmund,4,4,The Unicorn,Ukraine,1,"[""Andriy Yarmolenko""]","[""Andriy Yarmolenko""]"
48,Monaco,1,4,Easy,Portugal,11,"[""Bernardo Silva"", ""João Moutinho"", ""Costinha""]","[""Bernardo Silva"", ""João Moutinho"", ""Costinha"", ""Ricardo Carvalho"", ""Gelson Martins"", ""Florentino"", ""Rony Lopes"", ""Adrien Silva"", ""Fábio Coentrão"", ""Gil Dias"", ""Rúben Vinagre""]"
48,Monaco,2,4,Medium,Switzerland,4,"[""Breel Embolo"", ""Denis Zakaria"", ""Diego Benaglio""]","[""Breel Embolo"", ""Denis Zakaria"", ""Diego Benaglio"", ""Philipp Köhn""]"
48,Monaco,3,4,Hard,Algeria,2,"[""Islam Slimani"", ""Rachid Ghezzal""]","[""Islam Slimani"", ""Rachid Ghezzal""]"
48,Monaco,4,4,The Unicorn,Montenegro,1,"[""Stevan Jovetić""]","[""Stevan Jovetić""]"
