game_day,target_player,target_nationality,target_position,total_steps,step_number,new_constraint,club,active_constraints,active_clubs,valid_players
96,Timo Werner,Germany,Attack,4,2,Played for RB Leipzig,RB Leipzig,"[""Played for Germany"", ""Played for RB Leipzig""]","[""Germany"", ""RB Leipzig""]","[""Anthony Jung"", ""Assan Ouédraogo"", ""Benjamin Henrichs"", ""Benno Kaltefleiter"", ""Brajan Gruda"", ""Christopher Lenz"", ""David Raum"", ""Davie Selke"", ""Denis Thomalla"", ""Eric Martel"", ""Fabian Bredlow"", ""Janis Blaswich"", ""Joshua Kimmich"", ""Leopold Zingerle"", ""Lukas Klostermann"", ""Marius Müller"", ""Max Finkgräfe"", ""Ridle Baku"", ""Rocco Reitz"", ""Thomas Dähne"", ""Timo Schlieck"", ""Timo Werner"", ""Tom Krauß"", ""Viggo Gebel"", ""Vitaly Janelt""]"
96,Timo Werner,Germany,Attack,4,3,Played for Stuttgart,Stuttgart,"[""Played for Germany"", ""Played for RB Leipzig"", ""Played for Stuttgart""]","[""Germany"", ""RB Leipzig"", ""Stuttgart""]","[""Fabian Bredlow"", ""Joshua Kimmich"", ""Timo Werner""]"
96,Timo Werner,Germany,Attack,4,4,Played for Chelsea,Chelsea,"[""Played for Germany"", ""Played for RB Leipzig"", ""Played for Stuttgart"", ""Played for Chelsea""]","[""Germany"", ""RB Leipzig"", ""Stuttgart"", ""Chelsea""]","[""Timo Werner""]"
97,Ivan Toney,England,Attack,4,1,Played for Newcastle United,Newcastle United,"[""Played for Newcastle United""]","[""Newcastle United""]","[""Aaron Hughes"", ""Aaron Ramsdale"", ""Abdiel Arroyo"", ""Abdoulaye Faye"", ""Achraf Lazaar"", ""Adam Armstrong"", ""Adam Campbell"", ""Adam Collin"", ""Adam Taggart"", ""Adrian Madaschi"", ""Alan Shearer"", ""Alan Smith"", ""Alan Thompson"", ""Albert Luque"", ""Aleksandar Mitrović"", ""Aleksandar Susnjar"", ""Aleksandar Vrteski"", ""Alex Badolato"", ""Alex Murphy"", ""Alex Nassiep"", ""Alex Nunes"", ""Alexander Isak"", ""Allan Saint-Maximin"", ""Amdy Faye"", ""Andrew Durante"", ""Andrew Nabbout"", ""Andros Townsend"", ""Andy Carroll"", ""Andy Cole"", ""Andy Griffin"", ""Andy Petterson"", ""Angus Thurgate"", ""Anthony Elanga"", ""Anthony Gordon"", ""Antonio Barreca"", ""Antoñito Cordero"", ""Apostolos Stamatelopoulos"", ""Archie Goodwin"", ""Ayoze Pérez"", ""Beka Dartsmelia"", ""Beka Mikeltadze"", ""Ben Gibson"", ""Ben Kantarovski"", ""Ben Tozer"", ""Ben Van Dorssen"", ""Bernie Ibini-Isei"", ""Brad Friedel"", ""Bradley Orr"", ""Brandon O'Neill"", ""Brandon Wilson"", ""Brian Pinas"", ""Bruno Guimarães"", ""Callum Morris"", ""Callum Timmins"", ""Callum Wilson"", ""Calvin Zola"", ""Cammy Devlin"", ""Carl Finnigan"", ""Carl Jenkinson"", ""Celestine Babayaro"", ""Chancel Mbemba"", ""Chris Carr"", ""Chris Waddle"", ""Chris Wood"", ""Christian Bracco"", ""Ciaran Clark"", ""Clayton Taylor"", ""Colin McMenamin"", ""Connor Chapman"", ""Craig Bellamy"", ""Craig Goodwin"", ""Craig Moore"", ""Damien Duff"", ""Dan Barlaser"", ""Dan Burn"", ""Dan Gosling"", ""Dane Ingham"", ""Daniel Georgievski"", ""Daniel McBreen"", ""Daniel Penha"", ""Daniel Stynes"", ""Daniel Wilmering"", ""Danny Guthrie"", ""Danny Rose"", ""Danny Simpson"", ""Darren Ambrose"", ""Darren Peacock"", ""Daryl Janmaat"", ""Daryl Murphy"", ""Daryl Smylie"", ""David Carney"", ""David Cowan"", ""David Edgar"", ""David Ginola"", ""David Rozehnal"", ""David Terrier"", ""Davide Santon"", ""DeAndre Yedlin"", ""Demba Ba"", ""Devante Clut"", ""Didier Domi"", ""Diego Gavilán"", ""Dietmar Hamann"", ""Dimitri Petratos"", ""Dominik Ritter"", ""Donny de Groot"", ""Dwight Gayle"", ""Dylan Murnane"", ""Eli Adams"", ""Eli Babalj"", ""Elliot Anderson"", ""Emil Krafth"", ""Emmanuel Rivière"", ""Fabian Schär"", ""Fabio Vignaroli"", ""Fabricio Coloccini"", ""Facundo Ferreyra"", ""Faustino Asprilla"", ""Federico Fernández"", ""Fitz Hall"", ""Florian Lejeune"", ""Florian Thauvin"", ""Frank Wiafe"", ""Fraser Forster"", ""Freddie Woodman"", ""Gabriel Obertan"", ""Gary Caldwell"", ""Gary Speed"", ""Georginio Wijnaldum"", ""Georgios Georgiadis"", ""Giuseppe Rossi"", ""Glen Moss"", ""Grant Hanley"", ""Habib Beye"", ""Haris Vuckic"", ""Harrison Ashby"", ""Harry Sawyer"", ""Harvey Barnes"", ""Hatem Ben Arfa"", ""Henri Saivet"", ""Iain Fyfe"", ""Ian Bennett"", ""Ian Rush"", ""Isaac Hayden"", ""Islam Slimani"", ""Ivan Necevski"", ""Ivan Toney"", ""Ivan Vujica"", ""Jack Colback"", ""Jack Duncan"", ""Jacob Dowse"", ""Jacob Murphy"", ""Jacob Ramsey"", ""Jade North"", ""Jak Alnwick"", ""Jake Adelson"", ""Jamaal Lascelles"", ""Jamal Lewis"", ""James Coppinger"", ""James Delianov"", ""James Donachie"", ""James Holland"", ""James McGarry"", ""James Milner"", ""James Perch"", ""James Tavernier"", ""James Troisi"", ""Jamie McClen"", ""Jason Berthomier"", ""Jason Culina"", ""Jason Hoffman"", ""Jaushua Sotirio"", ""Javier Manquillo"", ""Jean-Alain Boumsong"", ""Jeff Hendrick"", ""Jeremy Brockie"", ""Jermaine Jenas"", ""Jess Kedwell Vanstrattan"", ""Jesús Gámez"", ""Jetro Willems"", ""Joe Champness"", ""Joe Ledley"", ""Joe Shaughnessy"", ""Joe White"", ""Joe Willock"", ""Joel Bertolissio"", ""Joel Griffiths"", ""Joel Theissen"", ""Joelinton"", ""Joey Barton"", ""John Barnes"", ""John Koutroumbis"", ""John Ruddy"", ""Jon Dahl Tomasson"", ""Jonathan Woodgate"", ""Jonjo Shelvey"", ""Jonny Brain"", ""Jonny Steele"", ""Jordan Baylis"", ""Jordan Elsey"", ""Joselu"", ""Joshua Brillante"", ""José Enrique"", ""Justin Pasfield"", ""Justin Vidic"", ""Jóan Símun Edmundsson"", ""Karl Darlow"", ""Kazenga LuaLua"", ""Keith Gillespie"", ""Kell Watts"", ""Kenedy"", ""Kevin Gall"", ""Kevin Mbabu"", ""Kevin Nolan"", ""Kew Jaliens"", ""Kieran Trippier"", ""Kieron Dyer"", ""Kosta Grozos"", ""Kostas Petratos"", ""Kota Mizunuma"", ""Kwabena Appiah-Kubi"", ""Lachlan Bayliss"", ""Lachlan Jackson"", ""Lachlan Rose"", ""Lamine Diatta"", ""Laurent Robert"", ""Lee Makel"", ""Leon Best"", ""Leonardo"", ""Lewis Guy"", ""Lewis Hall"", ""Lewis Italiano"", ""Lewis Miley"", ""Liam Reddy"", ""Lionel Perez"", ""Lloyd Kelly"", ""Lomana LuaLua"", ""Loris Karius"", ""Louis Saha"", ""Loïc Rémy"", ""Lubomir Satka"", ""Lucas Mauragis"", ""Lucas Scicluna"", ""Luka Prso"", ""Luuk de Jong"", ""Malick Thiaw"", ""Manabu Saito"", ""Mapou Yanga-Mbiwa"", ""Marcos Flores"", ""Mario Shabow"", ""Mark Birighitti"", ""Mark Boyd"", ""Mark Gillespie"", ""Mark Milligan"", ""Mark Moric"", ""Mark Natta"", ""Mark Viduka"", ""Marlon Harewood"", ""Martin Dúbravka"", ""Massadio Haïdara"", ""Mateo Corbo"", ""Mathieu Debuchy"", ""Matt Ritchie"", ""Matt Targett"", ""Matthew Bingley"", ""Matthew Jurman"", ""Matthew Millar"", ""Matthew Ridenton"", ""Matthew Scarcella"", ""Matty Appleby"", ""Matty Longstaff"", ""Matz Sels"", ""Max Burgess"", ""Max Cooper"", ""Mehdi Abeid"", ""Michael Owen"", ""Michael Weier"", ""Miguel Almirón"", ""Mike Williamson"", ""Mikel Merino"", ""Mitchell Oxborrow"", ""Mohamed Al-Taay"", ""Mohamed Diamé"", ""Morten Nordstrand"", ""Moussa Sissoko"", ""Nabil Bentaleb"", ""Nathan Grimaldi"", ""Ned Zelic"", ""Nicholas Cowburn"", ""Nicholas Fitzgerald"", ""Nick Pope"", ""Nick Tsattalios"", ""Nick Woltemade"", ""Nicky Butt"", ""Nigel Boogaard"", ""Nikolai Topor-Stanley"", ""Nikolaos Vergos"", ""Nile Ranger"", ""Njitap Geremi"", ""Noah James"", ""Noel Spencer"", ""Nolberto Solano"", ""Obafemi Martins"", ""Odysseas Vlachodimos"", ""Oguchi Onyewu"", ""Ole Söderberg"", ""Oli Cockle"", ""Olivier Boumal"", ""Oscar Fryer"", ""Pato Rodríguez"", ""Patrick Kluivert"", ""Patrick Langlois"", ""Patrick van Aanholt"", ""Paul Arnison"", ""Paul Dummett"", ""Paul Gascoigne"", ""Paul Henderson"", ""Paul Huntington"", ""Paul Kitson"", ""Paul Okon"", ""Paul Robinson"", ""Paul Stephenson"", ""Pavel Srnicek"", ""Peter Løvenkrands"", ""Peter Ramage"", ""Phillip Cancar"", ""Ramy Najjarine"", ""Reno Piscopo"", ""Richard Johnson"", ""Richard Nkomo"", ""Richard Offiong"", ""Riley McGree"", ""Ritchie Appleby"", ""Rob Elliot"", ""Robert Middleby"", ""Robin Hulbert"", ""Rolando Aarons"", ""Romain Amalfitano"", ""Ronald Vargas"", ""Ronny Johnsen"", ""Ruben Zadkovich"", ""Ruel Fox"", ""Ryan Donaldson"", ""Ryan Fraser"", ""Ryan Kitto"", ""Ryan Scott"", ""Ryan Taylor"", ""Rémy Cabella"", ""Salomón Rondón"", ""Sam Gallagher"", ""Sam Silvera"", ""Sammy Ameobi"", ""Samuel Adjei"", ""Sandro Tonali"", ""Sasho Petrovski"", ""Scott Neville"", ""Scott Parker"", ""Sean Longstaff"", ""Severin Bikoko"", ""Seydou Doumbia"", ""Shaka Hislop"", ""Shane Ferguson"", ""Shay Given"", ""Shefki Kuqi"", ""Shola Ameobi"", ""Siem de Jong"", ""Sol Campbell"", ""Stephen Ireland"", ""Steve Guppy"", ""Steven Caldwell"", ""Steven Taylor"", ""Steven Ugarkovic"", ""Stuart Findlay"", ""Stuart Green"", ""Stuart Pearce"", ""Sung-hwan Byun"", ""Sung-yueng Ki"", ""Sven Botman"", ""Sylvain Distin"", ""Sylvain Marveaux"", ""Sébastien Bassong"", ""Tamás Kádár"", ""Tete Yengi"", ""Thomas Aquilina"", ""Tiago Calvano"", ""Tim Krul"", ""Tino Livramento"", ""Tom English"", ""Tony Caig"", ""Tony Dinning"", ""Tony Lormor"", ""Travis Cooper"", ""Trent Buhagiar"", ""Valentino Lazaro"", ""Vurnon Anita"", ""Warren Barton"", ""Wayne Brown"", ""Wayne Routledge"", ""Wellissol"", ""Wes Hoolahan"", ""Wesley Ngo Baheng"", ""Will Dobson"", ""William Osula"", ""Xavier Bertoncello"", ""Xisco"", ""Yankuba Minteh"", ""Yoan Gouffran"", ""Yoane Wissa"", ""Yohan Cabaye"", ""Yoshinori Muto"", ""Zach Clough"", ""Zurab Khizanishvili""]"
97,Ivan Toney,England,Attack,4,2,Played for Wigan,Wigan,"[""Played for Newcastle United"", ""Played for Wigan""]","[""Newcastle United"", ""Wigan""]","[""Dan Burn"", ""Fitz Hall"", ""Gabriel Obertan"", ""Gary Caldwell"", ""Haris Vuckic"", ""Ivan Toney"", ""James Perch"", ""James Tavernier"", ""Keith Gillespie"", ""Kell Watts"", ""Mohamed Diamé"", ""Patrick van Aanholt"", ""Paul Dummett"", ""Ryan Taylor"", ""Steven Caldwell"", ""Tony Dinning"", ""Zach Clough""]"
97,Ivan Toney,England,Attack,4,3,Played for England,England,"[""Played for Newcastle United"", ""Played for Wigan"", ""Played for England""]","[""Newcastle United"", ""Wigan"", ""England""]","[""Dan Burn"", ""Fitz Hall"", ""Ivan Toney"", ""James Perch"", ""James Tavernier"", ""Kell Watts"", ""Ryan Taylor"", ""Tony Dinning"", ""Zach Clough""]"
97,Ivan Toney,England,Attack,4,4,Played for Barnsley,Barnsley,"[""Played for Newcastle United"", ""Played for Wigan"", ""Played for England"", ""Played for Barnsley""]","[""Newcastle United"", ""Wigan"", ""England"", ""Barnsley""]","[""Ivan Toney""]"
98,Cristian Romero,Argentina,Defender,4,1,Played for Juventus,Juventus,"[""Played for Juventus""]","[""Juventus""]","[""Aaron Ramsey"", ""Abdoulay Konko"", ""Aboubacar Fofana"", ""Adrian Mutu"", ""Adriano Bonaiuti"", ""Adrien Rabiot"", ""Alberto Aquilani"", ""Alberto Brignoli"", ""Alberto Cerri"", ""Alberto Costa"", ""Alberto Masi"", ""Albin Ekdal"", ""Alen Bokšić"", ""Alessandro Birindelli"", ""Alessandro Dal Canto"", ""Alessandro Del Piero"", ""Alessandro Frara"", ""Alessandro Gamberini"", ""Alessandro La Vecchia"", ""Alessandro Matri"", ""Alessio Curcio"", ""Alessio Tacchinardi"", ""Alex Sandro"", ""Alexander Manninger"", ""Alyer López"", ""Amauri"", ""Anastasios Donis"", ""Andrea Barzagli"", ""Andrea Cambiaso"", ""Andrea De Paola"", ""Andrea Favilli"", ""Andrea Gentile"", ""Andrea Luci"", ""Andrea Masiello"", ""Andrea Pirlo"", ""Andrea Pisani"", ""Andrea Pozzato"", ""Andrea Rossi"", ""Andrea Schiavone"", ""Andrea Torta"", ""Andreas Isaksson"", ""Andreas Möller"", ""André Cuneaz"", ""Andrés Tello"", ""Angel Di Maria"", ""Angelo Ogbonna"", ""Angelo Peruzzi"", ""Antonio Cabrini"", ""Antonio Candreva"", ""Antonio Chimenti"", ""Antonio Conte"", ""Antonio Mirante"", ""Antonio Nocerino"", ""Arkadiusz Milik"", ""Armand Traoré"", ""Arthur Melo"", ""Arturo Vidal"", ""Athirson"", ""Benedikt Höwedes"", ""Benjamin Onwuachi"", ""Bernardo Gradilla"", ""Blaise Matuidi"", ""Bremer"", ""Carlo Ilari"", ""Carlo Pinsoglio"", ""Carlo Vecchione"", ""Carlos Alcaraz"", ""Carlos Tevez"", ""Christian Abbiati"", ""Christian Manfredini"", ""Christian Poulsen"", ""Christian Vieri"", ""Ciro Ferrara"", ""Ciro Immobile"", ""Claudio Marchisio"", ""Claudio Scarzanella"", ""Claudio Zappa"", ""Cristian Bunino"", ""Cristian Molinaro"", ""Cristian Pasquato"", ""Cristian Romero"", ""Cristian Zenoni"", ""Cristiano Ronaldo"", ""Cristiano Zanetti"", ""Dani Alves"", ""Daniel Osvaldo"", ""Daniele Gastaldello"", ""Daniele Rugani"", ""Danilo"", ""Dario Campagna"", ""Dario Del Fabro"", ""Dario Venitucci"", ""David Trezeguet"", ""Davide Baiocco"", ""Davide Borin"", ""Davide Cais"", ""Davide Chiumiento"", ""Davide Falcioni"", ""Davide Lanzafame"", ""Davide Massaro"", ""Dean Huijsen"", ""Dejan Kulusevski"", ""Denis Zakaria"", ""Dida"", ""Didier Deschamps"", ""Diego"", ""Dino Baggio"", ""Dino Zoff"", ""Domenico Berardi"", ""Domenico Criscito"", ""Donato Bottone"", ""Douglas Costa"", ""Douglas Luiz"", ""Dušan Vlahović"", ""Edgar Davids"", ""Edoardo Braiati"", ""Edoardo Goldaniga"", ""Edon Zhegrova"", ""Edwin van der Sar"", ""Elio De Silvestro"", ""Eljero Elia"", ""Elvis Kabashi"", ""Emanuele Belardi"", ""Emanuele Giaccherini"", ""Emerson"", ""Emil Audero"", ""Emil Holm"", ""Emiliano Moretti"", ""Emre Can"", ""Enrico Fantini"", ""Enzo Barrenechea"", ""Enzo Maresca"", ""Eric Lanini"", ""Eros Castelletto"", ""Fabio Cannavaro"", ""Fabio Grosso"", ""Fabio Miretti"", ""Fabio Quagliarella"", ""Fabián Carini"", ""Fabrizio Miccoli"", ""Facundo González"", ""Fausto Rossi"", ""Federico Balzaretti"", ""Federico Bernardeschi"", ""Federico Chiesa"", ""Federico Gatti"", ""Federico Giampaolo"", ""Federico Mattiello"", ""Federico Peluso"", ""Felice Piccolo"", ""Felipe Melo"", ""Ferdinando Del Sole"", ""Fernando Llorente"", ""Filip Kostić"", ""Filippo Boniperti"", ""Filippo Inzaghi"", ""Filippo Marricchi"", ""Filippo Ranocchia"", ""Filippo Romagna"", ""Francesco Cassata"", ""Francesco Margiotta"", ""Francesco Scardina"", ""Francesco Volpe"", ""Francisco Conceição"", ""Gabriel Pires"", ""Gaetano Scirea"", ""Giacomo Cipriani"", ""Giacomo Vrioni"", ""Giangiacomo Magnani"", ""Gianluca Frabotta"", ""Gianluca Luppi"", ""Gianluca Pessotto"", ""Gianluca Zambrotta"", ""Gianluigi Buffon"", ""Gianmarco Vannucchi"", ""Giorgio Chiellini"", ""Giorgio Merlano"", ""Giuliano Giannichedda"", ""Giuseppe Sculli"", ""Gladstone"", ""Gonzalo Higuaín"", ""Gregorio Luperini"", ""Guglielmo Stendardo"", ""Hans Nicolussi Caviglia"", ""Hasan Salihamidzic"", ""Hernanes"", ""Hördur Magnússon"", ""Ian Rush"", ""Igor Tudor"", ""Ivan Ergic"", ""James Troisi"", ""Jaroslav Sedivec"", ""Jean-Alain Boumsong"", ""Jess Kedwell Vanstrattan"", ""Jesus Garcia Tena"", ""Joel Untersee"", ""Jonas Rouhi"", ""Jonatan Binotto"", ""Jonathan David"", ""Jonathan Zebina"", ""Jorge Martínez"", ""João Cancelo"", ""João Mário"", ""Juan Cabal"", ""Juan Cuadrado"", ""Jérémie Boga"", ""Jürgen Kohler"", ""Kaio Jorge"", ""Kenan Yıldız"", ""Khéphren Thuram"", ""King Udoh"", ""Kingsley Coman"", ""Koni De Winter"", ""Kwadwo Asamoah"", ""Landry Bonnefoi"", ""Leandro Paredes"", ""Leandro Rinaudo"", ""Leonardo Bonucci"", ""Leonardo Mancuso"", ""Leonardo Spinazzola"", ""Lilian Thuram"", ""Lloyd Kelly"", ""Lorenzo Ariaudo"", ""Lorenzo Benucci"", ""Lorenzo Rosseti"", ""Lorenzo Squizzi"", ""Loïs Openda"", ""Luca Barlocco"", ""Luca Castiglia"", ""Luca Clemenza"", ""Luca Marrone"", ""Luca Pellegrini"", ""Luca Scicchitano"", ""Luca Toni"", ""Lúcio"", ""Mame Thiam"", ""Manolo Gabbiadini"", ""Manolo Portanova"", ""Manuel Giandonato"", ""Manuel Locatelli"", ""Manuele Blasi"", ""Marcel Büchel"", ""Marcelo Djaló"", ""Marcelo Estigarribia"", ""Marcelo Salas"", ""Marcelo Zalayeta"", ""Marco Borriello"", ""Marco Di Vaio"", ""Marco Duravia"", ""Marco Marchionni"", ""Marco Motta"", ""Marco Rigoni"", ""Marco Storari"", ""Marco Zamboni"", ""Marco Zanchi"", ""Mario Kirev"", ""Mario Lemina"", ""Mario Mandžukić"", ""Mark Iuliano"", ""Marko Pjaca"", ""Marley Aké"", ""Martín Cáceres"", ""Massimiliano Vieri"", ""Massimo Paci"", ""Matheus Pereira"", ""Matteo Brighi"", ""Matteo Cavagna"", ""Matteo Gerbaudo"", ""Matteo Paro"", ""Matteo Stoppa"", ""Matthijs de Ligt"", ""Mattia Bortolussi"", ""Mattia Caldara"", ""Mattia Cassani"", ""Mattia De Sciglio"", ""Mattia Perin"", ""Mattia Vitale"", ""Matías Soulé"", ""Mauricio Isla"", ""Mauro Camoranesi"", ""Mbaye Diagne"", ""Medhi Benatia"", ""Merih Demiral"", ""Michael Laudrup"", ""Michel Platini"", ""Michelangelo Rampulla"", ""Michele Cavion"", ""Michele Di Gregorio"", ""Michele Paolucci"", ""Michele Paramatti"", ""Michele Pazienza"", ""Michele Serena"", ""Milos Krasic"", ""Miralem Pjanić"", ""Mohamed Ihattaren"", ""Mohamed Sissoko"", ""Moise Kean"", ""Morgan De Sanctis"", ""Nazzareno Belfasti"", ""Neto"", ""Nicklas Bendtner"", ""Nico González"", ""Nico Hidalgo"", ""Nicola Amoruso"", ""Nicola Cosentini"", ""Nicola Leali"", ""Nicola Legrottaglie"", ""Nicola Mosti"", ""Nicolas Anelka"", ""Nicolò Curti"", ""Nicolò Fagioli"", ""Nicolò Pozzebon"", ""Nicolò Rovella"", ""Nicolò Savona"", ""Niko Bianconi"", ""Olivier Kapo"", ""Olof Mellberg"", ""Omar Milanetto"", ""Orlando Urbano"", ""Ouasim Bouy"", ""Paolo De Ceglie"", ""Paolo Di Canio"", ""Paolo Montero"", ""Patrice Evra"", ""Patrick Müller"", ""Patrick Vieira"", ""Paul Pogba"", ""Paulo Dybala"", ""Pavel Nedved"", ""Pavel Nedvěd"", ""Pedro Díaz"", ""Pierluigi Casiraghi"", ""Pierre Kalulu"", ""Pol García"", ""Pol Lirola"", ""Prince Gouano"", ""Radu Drăgușin"", ""Raffaele Alcibiade"", ""Raffaele Bianco"", ""Raffaele Palladino"", ""Randal Kolo Muani"", ""Renato Veiga"", ""Reto Ziegler"", ""Riccardo Maniero"", ""Riccardo Orsolini"", ""Richmond Boakye"", ""Robert Jarni"", ""Robert Kovac"", ""Roberto Baggio"", ""Roberto Crivello"", ""Roberto Merenda"", ""Roberto Pereyra"", ""Rodrigo Bentancur"", ""Rogério"", ""Rolando Mandragora"", ""Roman Macek"", ""Rubens Pasino"", ""Rubinho"", ""Rubén Olivera"", ""Rômulo"", ""Salvatore Aronica"", ""Salvatore Fresi"", ""Sami Khedira"", ""Samon Reider Rodríguez"", ""Samuel Iling-Junior"", ""Samuel Mbangula"", ""Sebastian Giovinco"", ""Sergio Almirón"", ""Sergio Porrini"", ""Simone Bentivoglio"", ""Simone Esposito"", ""Simone Ganz"", ""Simone Malatesta"", ""Simone Padoin"", ""Simone Pepe"", ""Simone Perrotta"", ""Simone Zaza"", ""Stefan Reuter"", ""Stefano Beltrame"", ""Stefano Di Berardino"", ""Stefano Gori"", ""Stefano Sturaro"", ""Stephan Lichtsteiner"", ""Stephen Appiah"", ""Sunday Oliseh"", ""Teun Koopmeiners"", ""Thierry Henry"", ""Tiago Djaló"", ""Tiago Mendes"", ""Timothy Nocchi"", ""Timothy Weah"", ""Tommaso Rocchi"", ""Tommaso Silvestri"", ""Tomás Guzmán"", ""Tomás Rincón"", ""Vajebah Sakor"", ""Valeri Bozhinov"", ""Vasilije Adžić"", ""Viktor Budyanskiy"", ""Vincent Péricard"", ""Vincenzo Fiorillo"", ""Vincenzo Iaquinta"", ""Vykintas Slivka"", ""Weston McKennie"", ""Wojciech Szczesny"", ""Younes Bnou Marzouk"", ""Zdenek Grygera"", ""Zinedine Zidane"", ""Zinédine Zidane"", ""Zlatan Ibrahimović"", ""Zoran Josipovic"", ""Álvaro Morata"", ""Ángel Di María""]"
98,Cristian Romero,Argentina,Defender,4,2,Played for Atalanta,Atalanta,"[""Played for Juventus"", ""Played for Atalanta""]","[""Juventus"", ""Atalanta""]","[""Abdoulay Konko"", ""Alessio Tacchinardi"", ""Andrea Masiello"", ""Antonio Cabrini"", ""Christian Vieri"", ""Cristian Romero"", ""Cristian Zenoni"", ""Daniel Osvaldo"", ""Dejan Kulusevski"", ""Emil Holm"", ""Federico Mattiello"", ""Federico Peluso"", ""Filippo Inzaghi"", ""Gaetano Scirea"", ""Gianluca Luppi"", ""Guglielmo Stendardo"", ""James Troisi"", ""Juan Cuadrado"", ""Jérémie Boga"", ""Leonardo Spinazzola"", ""Lorenzo Rosseti"", ""Manolo Gabbiadini"", ""Marcelo Estigarribia"", ""Marco Borriello"", ""Marco Motta"", ""Marco Zanchi"", ""Matteo Brighi"", ""Mattia Caldara"", ""Merih Demiral"", ""Michele Paolucci"", ""Nicola Amoruso"", ""Paolo Montero"", ""Prince Gouano"", ""Riccardo Orsolini"", ""Richmond Boakye"", ""Sergio Porrini"", ""Simone Padoin"", ""Teun Koopmeiners""]"
98,Cristian Romero,Argentina,Defender,4,3,Played for Genoa,Genoa,"[""Played for Juventus"", ""Played for Atalanta"", ""Played for Genoa""]","[""Juventus"", ""Atalanta"", ""Genoa""]","[""Abdoulay Konko"", ""Andrea Masiello"", ""Cristian Romero"", ""Marco Borriello"", ""Marco Motta"", ""Richmond Boakye""]"
98,Cristian Romero,Argentina,Defender,4,4,Played for Argentina,Argentina,"[""Played for Juventus"", ""Played for Atalanta"", ""Played for Genoa"", ""Played for Argentina""]","[""Juventus"", ""Atalanta"", ""Genoa"", ""Argentina""]","[""Cristian Romero""]"
